dt,lat,lng,altitude,angle,speed,params
2022-05-18 03:02:12,3.844292,11.496152,699,7,0,"gpslev=18, gsmlev=5, hdop=0.2, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 03:05:12,3.844278,11.496132,698,4,0,"gpslev=16, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 03:08:13,3.844278,11.496132,698,4,0,"gpslev=15, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13298, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 03:11:13,3.844278,11.496132,698,4,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 03:14:14,3.844278,11.496132,698,4,0,"gpslev=17, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 03:17:14,3.844278,11.496132,698,4,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13298, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 03:20:15,3.844278,11.496132,698,4,0,"gpslev=17, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 03:23:15,3.844278,11.496132,698,4,0,"gpslev=17, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 03:26:15,3.844278,11.496132,698,4,0,"gpslev=16, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.4"
2022-05-18 03:29:15,3.844278,11.496132,698,4,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342792, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13297, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
